event_duration;guest_count;average_age;gender_ratio_percent;event_type;quartal;beer;white_wine;red_wine;sparkling_wine;soft_drinks;water;longdrinks
11;65;50;50;3;1;56;17;5;5;12;61;82
6;30;40;50;5;1;23;8;2;3;24;15;5
8;60;19;50;1;1;42;7;2;0;16;21;204
5;400;40;50;1;1;500;41;8;36;17;88;1700
6;40;42;50;6;2;14;4;1;7;13;19;17
6;40;40;40;5;4;10;2;1;1;4;20;52
6;38;50;50;6;1;19;11;5;3;5;32;52
6;38;40;50;5;4;8;3;4;1;5;23;138
6;38;42;40;5;2;0;7;3;0;9;16;16
7;36;50;50;6;2;17;11;1;5;5;27;0
7;45;50;50;2;2;12;7;1;0;12;14;0
8;24;50;50;6;2;14;9;0;4;4;17;18